num_rows,num_cols,type_check_exec_time,col0_exec_time,col1_exec_time,col2_exec_time,col3_exec_time,col4_exec_time,col5_exec_time,col6_exec_time,col7_exec_time,col8_exec_time,col9_exec_time,col10_exec_time,col11_exec_time,col12_exec_time,col13_exec_time,col14_exec_time,all_cols_exec_time,overall_exec_time
1,15,0.0237104893,0.0027866364,8.9407e-05,4.29153e-05,3.3617e-05,3.09944e-05,5.17368e-05,4.02927e-05,0.0002398491,4.31538e-05,3.0756e-05,3.88622e-05,3.79086e-05,3.05176e-05,3.3617e-05,2.95639e-05,0.0037200451,0.0279142857
5,15,0.0049064159,0.0011081696,0.0001761913,0.0001525879,5.74589e-05,3.48091e-05,3.29018e-05,0.0002849102,4.98295e-05,3.52859e-05,0.0001285076,0.0001006126,0.0001456738,0.0002763271,3.60012e-05,3.12328e-05,0.0027592182,0.0077161789
10,15,0.0028524399,8.70228e-05,8.34465e-05,3.67165e-05,3.31402e-05,3.21865e-05,3.09944e-05,3.09944e-05,3.09944e-05,8.01086e-05,3.43323e-05,3.24249e-05,4.36306e-05,9.5129e-05,8.39233e-05,0.0002231598,0.0010197163,0.0038950443
50,15,0.0039384365,0.0001189709,0.0001182556,9.56059e-05,7.05719e-05,8.17776e-05,5.26905e-05,3.09944e-05,3.0756e-05,3.12328e-05,0.0005419254,3.17097e-05,2.98023e-05,3.02792e-05,5.62668e-05,3.3617e-05,0.001749754,0.0057308674
100,15,0.0018308163,6.93798e-05,3.91006e-05,3.24249e-05,3.0756e-05,2.98023e-05,2.90871e-05,2.90871e-05,2.88486e-05,2.86102e-05,2.83718e-05,2.86102e-05,2.83718e-05,2.83718e-05,2.83718e-05,2.81334e-05,0.0005385876,0.0023889542
500,15,0.0018250942,6.8903e-05,4.07696e-05,3.98159e-05,4.91142e-05,3.24249e-05,3.45707e-05,3.02792e-05,3.00407e-05,3.00407e-05,2.95639e-05,2.95639e-05,2.90871e-05,2.95639e-05,2.95639e-05,2.93255e-05,0.0005762577,0.002420187
1000,15,0.0018460751,5.62668e-05,3.88622e-05,3.24249e-05,4.19617e-05,3.00407e-05,2.90871e-05,2.95639e-05,3.48091e-05,3.02792e-05,3.33786e-05,3.05176e-05,2.88486e-05,3.29018e-05,2.95639e-05,2.90871e-05,0.000549078,0.0024137497
5000,15,0.0017671585,7.41482e-05,4.22001e-05,3.40939e-05,3.09944e-05,2.98023e-05,3.02792e-05,3.33786e-05,3.02792e-05,3.02792e-05,3.3617e-05,3.05176e-05,2.90871e-05,3.29018e-05,2.90871e-05,2.88486e-05,0.0005626678,0.0023486614
10000,15,0.0017251968,6.41346e-05,3.91006e-05,5.17368e-05,3.33786e-05,3.09944e-05,3.00407e-05,2.88486e-05,2.90871e-05,2.83718e-05,2.90871e-05,2.93255e-05,2.83718e-05,2.81334e-05,2.81334e-05,3.8147e-05,0.0005602837,0.0023033619
50000,15,0.0017809868,6.17504e-05,4.31538e-05,3.40939e-05,3.05176e-05,3.48091e-05,3.02792e-05,2.90871e-05,2.86102e-05,4.31538e-05,2.98023e-05,2.88486e-05,2.7895e-05,3.29018e-05,2.88486e-05,2.76566e-05,0.0005538464,0.002352953
100000,15,0.001740694,6.10352e-05,3.95775e-05,3.33786e-05,3.09944e-05,2.98023e-05,4.07696e-05,2.98023e-05,2.88486e-05,2.83718e-05,2.7895e-05,2.86102e-05,2.81334e-05,2.81334e-05,2.7895e-05,2.83718e-05,0.0005426407,0.0023026466
5000000,15,0.0017921925,7.10487e-05,4.22001e-05,3.52859e-05,3.43323e-05,3.48091e-05,3.33786e-05,3.3617e-05,3.09944e-05,3.05176e-05,3.05176e-05,3.00407e-05,3.02792e-05,3.02792e-05,2.98023e-05,4.26769e-05,0.000585556,0.0023975372
1000000,15,0.001727581,5.62668e-05,3.88622e-05,3.21865e-05,3.0756e-05,3.05176e-05,3.00407e-05,2.90871e-05,2.86102e-05,2.90871e-05,2.86102e-05,2.83718e-05,2.90871e-05,2.95639e-05,2.76566e-05,2.76566e-05,0.0005180836,0.0022640228
5000000,15,0.0017981529,6.03199e-05,3.93391e-05,3.31402e-05,3.12328e-05,3.0756e-05,3.0756e-05,3.00407e-05,2.88486e-05,4.07696e-05,2.83718e-05,2.81334e-05,2.7895e-05,2.76566e-05,2.76566e-05,2.74181e-05,0.000535965,0.0024478436
10000000,15,0.0017495155,5.62668e-05,3.8147e-05,3.33786e-05,3.14713e-05,3.02792e-05,2.95639e-05,3.91006e-05,2.88486e-05,2.93255e-05,2.86102e-05,2.83718e-05,2.81334e-05,2.76566e-05,2.74181e-05,2.74181e-05,0.0005271435,0.0022947788
